Idiom,Part_of_Speech,Meaning,Example
pencil-pusher,n.,clerk;  bureaucrat; office worker, 
period,exclam.,that's  all; that's it; no more discussion, 
perp,n.,"perpetrator;  person who commits, or may have committed, a crime.",Who's our perp? Anyone  able to identify him?
peyote,n.,mescaline, 
pharming,n.,technique to  direct a user to a fake Web page used to scam people, 
phat,adj.,excellent;  good, 
phat,adj.,something  extremely good, 
phishing,n.,technique of  directing people to fake Web sites in order to convince them to reveal personal  informatio, 
phone sex,n.,sexual activity  over the telephone, 
phooey,n.,nonsense;  rubbish; foolish talk or ideas, 
phreak,v.,attack computer  systems or telephone systems over telephone lines, 
phreaker,n.,person who  attacks computer systems or telephone systems over telephone lines, 
pickled,adj.,drunk;  intoxicated, 
piddle,v.,work slowly and  without focus, 
piddle around,v.,work slowly and  without focus, 
pie hole,n.,mouth, 
piece of ass,n.,potential  partner for sex (usually a woman), 
piece of cake,idiom.,simple; very easy.,That test was a piece of cake.  I'm sure I'll get a good score.
piece of cake,n.,something  readily or easily accomplished, 
piece of tail,n.,potential  partner for sex (usually a woman), 
piece of work,n.,person of  unappealing or undesirable character, 
pie hole,n.,the human mouth, 
pig,n.,"fat, ugly woman", 
pig,n.,glutton; person  who eats a lot, 
pig,n.,"messy, dirty  person", 
pig,n.,police officer, 
pig out,v.,"gorge, overeat,  eat to excess", 
pile of shit,n.,lies, 
pile of shit,n.,low-quality  object or device, 
pile of shit,n.,person of  little value, 
pimp,v.,make fancy;  dress up; embellish, 
pimpmobile,n.,"big, flashy  car, often with bright colors, lights, and chrome", 
pinch,n.,"small quantity  of powdered substance (e.g.: salt, spices)", 
piss,n.,low-quality  beer or liquor, 
piss,n.,urine; pee, 
piss,v.,urinate; pee, 
piss around,v.,"spend time  doing minor, irrelevant things", 
piss in the wind,v.,waste time; do  something unproductive or futile, 
piss off,exclam.,go away;  drop dead (used to reject something or as a retort), 
piss off,exclam.,go away;  get out of my sight, 
piss somebody off,v.,upset somebody, 
piss something away,v.,squander;  fritter away; waste, 
pissant,adj.,completely  worthless, 
pissant,n.,person of no  value, 
piss-ant,adj.,completely  worthless, 
piss-ant,n.,person of no  value, 
pissed,adj.,drunk;  intoxicated, 
pissed,adj.,upset; angry, 
pissed off,adj.,upset; angry, 
pissing match,n.,dispute;  argument; pointless debate or competition, 
piss-poor,adj.,extremely  poor; having no money, 
piss-poor,adj.,very low  quality or capability, 
pit stop,n.,"stop made while  driving somewhere, usually for food or to use a bathroom", 
PITA,abbr.,pain in the  ass, 
pitch a tent,v.,have an  erection upon waking in the morning, 
pitch it,v.,discard it; get  rid of it, 
pitch up,v.,arrive; show  up; appear, 
pitch-in,n.,meal in which  each participant contributes food (used in Indiana and Montana only), 
pits,n.,something very  poor or undesirable, 
pizza-face,n.,person with  severe acne or scars from acne, 
PJs,n.,projects, 
plastered,adj.,drunk;  intoxicated, 
plastic,adj.,fake; false;  unreal, 
play,n.,plan; strategy;  tactic.,"Okay, here's our next play. You fake left, you go deep."
play doctor,v.,engage in  sexual activity (mostly said and done by children), 
play it cool,v.,"appear or act  in a relaxed, carefree manner", 
played out,adj.,ineffective;  used up, 
player,n.,"person who has  power, influence, or authority in a situation", 
player,n.,person who is  sexually active or promiscuous, 
plop,v.,put or place  something in some location, 
plop,v.,sit down, 
PLOS,abbr.,parents  looking over shoulder, 
plug,n.,hunk of chewing  tobacco, 
plug,n.,promotion or  advertisement (often free) for a product or service, 
p-mail,n.,physical mail, 
pocket rocket,n.,penis, 
poindexter,n.,"studious, good  student (usually male)", 
pointy-head,n.,intellectual;  careful thinker, 
pokey,adj.,slow; very  slow, 
pokey,n.,prison; jail, 
poky,n.,prison; jail, 
polish off,v.,finish up;  complete; remove the last of (said of food or work).,He polished off the  rest of the cake.
pond scum,n.,"person (usually  male) of no worth, with a cruel disposition", 
poop,n.,act of  defacatio, 
poop,v.,move one's  bowels; defacate, 
poop,n.,feces; dung, 
poop,n.,information or  knowledge about something, 
poop / shot one�s pants,v.,get scared / frightened, 
poop out,v.,stop; quit;  become tired and stop, 
poop sheet,n.,paper  containing information about something, 
pooped,adj.,tired;  fatigued; exhausted, 
pooped out,adj.,tired;  fatigued; exhausted, 
pop,adj.,popular.,Pop music sucks these days.
pop,n.,"father; dad;  daddy (older expression, not used much anymore)", 
pop,n.,soda;  carbonated beverage (used mostly in the Midwest of the U.S.), 
pop,v.,strike; hit, 
pop a boner,n.,get an erection, 
pop a wheelie,v.,ride a  motorcycle or bicycle with the front wheel off the ground.,"He popped a  wheelie, then crashed his bike."
pop for,v.,pay for  something (usually a treat for somebody), 
pop off,v.,interrupt; talk  back, 
pop off,v.,lose control, 
pop one's cork,v.,become angry;  have an outburst or tantrum, 
pop the clutch,v.,engage the  clutch abruptly.,Don't pop the clutch. Be a bit more gentle when you shift  gears.
popper,n.,small container  of amyl nitrate, 
poppers,n.,amyl nitrite, 
pops,n.,you (when  addressing an older male you do not personally know).,"Hey, pops, help me out  here for a minute."
pork,v.,have sexual  relations with, 
pork out,v.,eat  excessively; overeat, 
pork out,v.,eat greedily  and quickly, 
porky,adj.,"fat,  overweight", 
poser,n.,person who  pretends to be what he or she is not, 
posh,adj.,fancy;  upscale, 
posse,n.,one's friends, 
post,n.,steering column  in a car, 
pot,n.,carburetor, 
pot,n.,marijuana, 
pot luck,n.,meal in which  each participant contributes food, 
POW,n.,prisoner of war, 
pray to the porcelain  god,v.,vomit; throw up, 
prick,n.,dumb person of  little worth, 
prick,n.,penis, 
pro,n.,professional;  somebody with professional-level ability, 
pro,n.,prostitute;  whore, 
prod,n.,reminder; way  to make somebody remember something, 
prod,v.,remind somebody  of something, 
psych,n.,psychiatry;  psychiatric service or ward in a hospital.,Get psych down here. I think  we've got a suicide.
psych out,v.,fool; deceive;  trick (somebody), 
psych up,v.,excite  somebody; make somebody enthusiastic, 
psyched,adj.,thrilled;  excited; stimulated; eager, 
puff,v.,exaggerate;  promote; hype; market aggressively, 
puke,n.,vomit; vomitus.,Look at the puke all over this bus statio
puke,v.,vomit; throw  up.,I was so sick from that fish that I puked last night
pull an all-nighter,v.,"stay up all  night doing something, usually a studying, preparing for an exam, or partying.",I pulled an all-nighter to finish that project.
pull rank,v.,use or exploit  the authority that comes with one's rank, 
pull somebody's chain,v.,annoy; harass;  irritate, 
PUMG,abbr.,puking up my  guts (from laughing hard), 
pump,v.,try to extract  information from somebody, 
pump,n.,heart, 
pump up,v.,excite  somebody; make somebody enthusiastic, 
pump up,v.,exercise or  flex muscles to that they become filled with blood and appear larger, 
pumped,adj.,thrilled;  excited; stimulated; eager, 
pumped up,adj.,thrilled;  excited; stimulated; eager, 
punch out,v.,eject from an  aircraft.,"I'm hit, gotta punch out!"
punk,adj.,of or  pertaining to punk music and those who listen to it, 
punk,n.,juvenile  delinquent; hoodlum (said of young men and boys), 
punker,n.,person (usually  young) who emulates the fashion and behavior of punk rock musicians, 
punter,n.,gambler;  someone who bets or makes risky investments, 
puppy,n.,object; thing, 
puppy love,n.,feeling of  affection or romantic attraction among pre-adolescents, 
push off,v.,depart; leave.,"It's late, time to push off."
pusher,n.,person who sells  drugs, 
puss,n.,face; a  person's face, 
pussy,n.,female  genitalia, 
pussy,n.,woman (as a  sexual object).,I gotta get me some pussy.
pussy-wipped,adj.,under the  control of a woman; manipulated by a woman (said of men), 
put a sock in it,exclam.,be quiet;  shut up; stop stalking, 
put a sock in it,v.,be quiet; stop  talking, 
put out,adj.,upset;  disappointed, 
put out,v.,engage in  sexual activity (said of women), 
put the chill on,v.,ignore; leave  alone; reject (somebody), 
put the freeze on,v.,ignore; leave  alone; reject (somebody), 
put the moves on,v.,attempt to  attrack or seduce somebody (usually a woman), 
put the pedal to the  metal,v.,accelerate a  car by pressing the accelerator pedal to the floor, 
put your hands  together for,v.,clap; applaud  somebody, 
put-on,n.,con; deception, 
putz,n.,"dumb, clumsy  person", 
putz,n.,penis (from  Yiddish), 
putz around,v.,mess around; do  little or nothing; waste time, 
pysched up,adj.,thrilled;  excited; stimulated; eager, 
Q-sign,n.,comatose  patient with mouth open and tongue hanging out, 
quads,n.,"quadrucep  muscles (on the front of the thigh, visible near the knee)", 
quant,n.,financial  analyst who uses quantitative techniques, 
quarterback,v.,lead; manage;  be in charge of something or somebody, 
queer,adj.,of or  pertaining to homosexuals, 
queer,n.,homosexual  (typically male), 
quick buck,n.,profit rapidly  and readily earned, 
quick fix,n.,"simple, rapid  solution that is usually not practical in the long term", 
quick fix,n.,solution that  is neither good nor durable, 
quick one,n.,sexual  relations done quickly, 
quick-and-dirty,adj.,something  done rapidly and sloppily, 
quickie,n.,sexual  relations done quickly, 
rabbit,v.,flee; run away;  escape.,He's rabbiting. I'm going after him.
rabbit food,n.,raw vegetables, 
rack,n.,bed; cot, 
rack,n.,"breasts  (female, usually large)", 
rack duty,n.,time spend in  bed asleep, 
rack time,n.,time spend in  bed asleep, 
rack up,v.,earn; obtain;  acquire, 
racket,n.,con; deception, 
racket,n.,"noise; loud  sounds (music, work-related noise)", 
radical,adj.,excellent;  good, 
rag,n.,clothing in  general (of any quality), 
rag,n.,newspaper, 
rag,n.,tampon; pad, 
rag,n.,ugly clothing, 
ragjob,n.,convertible  (car), 
ragtop,n.,convertible  (car), 
railroad tracks,n.,braces on the  teeth (particularly metal ones with wires connecting them), 
rain on somebody's  parade,v.,ruin or spoil  something for somebody, 
rake in,v.,obtain or bring  in a large quantity (usually money), 
rally,n.,party;  gathering; event, 
rally,v.,have a party or  hold an event, 
rap,n.,criminal charge  or accusation; blame or responsibility, 
rap,v.,chat; talk;  discuss something, 
rap session,n.,causual  discussion about something, 
rap sheet,n.,record of a  person's crimes, 
raspberry,n.,obnoxious sound  made by pushing air through closed lips, 
rat,n.,person who is  disgusting, 
rat fink,n.,informant;  snitch, 
rat on,v.,"inform, snitch,  or tell on somebody", 
rat-bastard,n.,person who is  extremely disgusting, 
rathole,n.,disgusting  place, 
rattled,adj.,surprised;  confused, 
raw,adj.,lacking  experience; new.,"You're totally raw. You've never done this, have you?"
rays,n.,sunshine, 
razz,v.,tease; taunt, 
ream out,v.,scold or berate  somebody, 
rear,n.,buttocks, 
rear end,n.,buttocks, 
rear-ender,n.,automobile  collision in which one car strikes the back or another, 
red hot,n.,very important;  very much in demand, 
red tide,n.,menstruation;  menstrual period; period, 
red up,v.,dress up; make  fancy (used in western Pennsylvania), 
redneck,n.,"person from a  small, rural town and possessing little education or manners", 
reffo,n.,refugee, 
regs,n.,regulations  (abbreviation).,Don't quote me the regs.
rep,n.,representative  (usually in sales), 
rep,n.,reputatio, 
repo,n.,repossessed  item (usually an automobile), 
re-up,v.,reenlist.,He  re-upped? I thought he wanted out of the army.
revved,adj.,excited;  eager, 
revved up,adj.,excited;  eager, 
ride,n.,car; vehicle, 
ride shotgun,v.,sit in the  front passenger seat of a car.,I'll ride shotgun if you don't mind. I've got  to tell him where we're going.
riff,n.,brief piece of  music played by one musicia, 
rig,v.,manipulate or  set up a situation to achieve a desired outcome; cheat, 
righteous,adj.,high quality;  nice; good, 
rims,n.,wheels (on a  car), 
ring a bell,v.,bring to mind, 
rinky-dink,adj.,cheap; low  quality; damaged, 
rip off,v.,deceive; steal;  con somebody out of.,They tried to rip me off at the used car dealership.
rip-off,n.,con; deception, 
rip-off,n.,copy;  reproduction; stolen idea or item, 
rip-off artist,n.,con artist;  deceiver, 
ripped,adj.,muscular;  having well-defined muscles (usually said of men).,His abs are seriously  ripped.
roach-coach,n.,snack truck, 
road hog,n.,driver who  takes up too much space on a road, 
roadie,n.,person (usually  young) who helps a rock group move equipment and set up for a performance, 
roady,n.,person (usually  young) who helps a rock group move equipment and set up for a performance, 
roast,n.,party or event  at which the guest or honor is teased or insulted in an affectionate way, 
roast,v.,tease and  insult a person at a party held in his or her honor, 
rock,v.,"be exciting,  stimulating, or successful", 
rocks,n.,ice cubes, 
roger,n.,understood  (used primarily for radio communication), 
roit,n.,"an amusing,  entertaining person or thing", 
Rolls,n.,Rolls-Royce.,Nice Rolls. How'd you afford it?
root around,v.,look for;  carefully and thoroughly seek, 
rophies,n.,rohypnol, 
rophy,n.,rohypnol, 
ROTL,abbr.,rolling on  the floor, 
rotten,adj.,low quality  or performance.,He wrote a rotten paper for his history class.
rotten,adj.,stinky;  smelly; disgusting, 
rough time,n.,difficult  experience; hard time, 
roundup,n.,"summary of  information such as news, weather, or sports", 
rubber,n.,black marks of  rubber left by automobile tires on a road.,He really burned rubber when he  left.
rubber,n.,condom (U.S.  usage).,Where can you buy rubbers at this time of night?
rubbish,n.,nonsense;  foolish talk or ideas, 
rug,n.,toupee or wig.,Nice rug that guy's got.
rug rat,n.,child; kid.,Any rug rats at home?
rule,v.,be the top; be  the best; dominate, 
run,n.,transportation  of illegal items, 
run,v.,transport  illegal items.,My grandfather used to run rum from Cuba.
run down,n.,explanation or  description of an event, 
run it down,v.,tell exactly  what happened, 
run off at the mouth,v.,speak  excessively and quickly, 
run out of gas,v.,tire; lose  interest, 
runner,n.,somebody who  transports illegal items.,"That gun runner got arrested, didn't he?"
runs,n.,diarrhea, 
runt,n.,"short, usually  slender peson (typically male)", 
rush,n.,"time when  sororities and fraternities attempt to find new members, usually in the fall", 
S.O.B.,n.,son of a bitch;  despicable person (typically male), 
S.O.S.,n.,shit on a  shingle (i.e.: creamed chipped beef on toast), 
sack,n.,bed; cot, 
sack,n.,"firing,  termination, or dismissal from a job", 
sack,n.,the tackling of  a player in football (American), 
sack,v.,fire; dismiss  (an employee), 
sack,v.,tackle a player  in football (American), 
sack out,v.,go to bed; get  in bed; go to sleep, 
sand box,n.,Iraq (as of  2003; previously referred to Saudi Arabia), 
scam,n.,deception;  swindle; con;, 
scammer,n.,con artist;  deceiver; swindler, 
scank,n.,ugly woman  (usually young), 
scarf,v.,eat greedily  and quickly.,He was so hungry he scarfed the entire pizza.
scarf down,v.,eat greedily  and quickly, 
scarf out,v.,eat greedily  and quickly, 
schlep,n.,"dumb, annoying  person", 
schlep,v.,carry or haul  something or somebody from place to place.,I've been schlepping these books  around all day.
schmoose,v.,gossip;  discuss; cat, 
schmooze,v.,gossip;  discuss; cat, 
schmoozer,n.,person who can  chat or gossip effectively, 
schmuck,n.,"dumb, annoying  man or boy", 
schmuck,n.,penis, 
school,v.,teach somebody  something (usually said by a person in authority), 
scope,v.,assess or  evaluate somebody visually, 
scope out,v.,assess or  evaluate somebody visually, 
scorcher,n.,"very hot, sunny  day", 
score,n.,results;  outcome, 
score,n.,"summary of  information such as news, weather, or sports", 
score,v.,succeed; obtain  what one wanted, 
score,v.,have sexual  relations with (said by men regarding women), 
scraggy,adj.,bony; having  little muscle or body fat, 
scratch,adj.,unplanned;  temporary, 
scratch,n.,money; cash, 
scratch,v.,eliminate;  cancel; delete, 
scratch,n.,money, 
screw,v.,con; deceive;  swindle; cheat, 
screw,n.,person  available for sex, 
screw,n.,sex; the sex  act, 
screw,v.,have sexual  relations with, 
screw around,v.,waste time; do  something unproductive or futile, 
screw over,v.,"cheat, lie, or  deceive somebody", 
screw up,adj.,err; mess up;  blunder, 
screw up,n.,chaos;  confusion; mess, 
screwed,adj.,deceived;  cheated; swindled, 
scriptkiddy,n.,"young,  inexperienced hacker with little programming ability who uses other's code for  their own malicious purposes", 
scrub,v.,cancel; halt;  stop, 
scruffy,adj.,dirty;  unkempt.,Who you calling scruffy looking?
scum,n.,"disgusting,  worthless person", 
scum,n.,semen, 
scumbag,n.,"disgusting,  worthless person", 
scumbag,n.,"condom, in  particular a used one", 
scuz,n.,dirt; filth;  garbage, 
scuzzbag,n.,"disgusting,  worthless person", 
scuzzy,adj.,disgusting;  repulsive; vulgar, 
second base,n.,"act of touching  or groping sexually (used as a way to mark ""progress"" in sex,  particularly among youth)", 
serious,adj.,excellent;  nice; good, 
set,n.,period during  which a band plays without stopping, 
sexy,adj.,have  substantial sexual appeal, 
shades,n.,"sunglasses,  especially dark sunglasses", 
shag,v.,depart; leave, 
shag,v.,have sexual  intercourse with, 
shag off,v.,depart; leave, 
shank,n.,knife; blade, 
shank it,v.,walk someplace;  go someplace on foot, 
sharp,adj.,handsome;  attractive; nicely dressed, 
sharp,adj.,smart;  clever; bright, 
shellac,v.,defeat somebody  (often in a game or other contest), 
shellacked,adj.,defeated;  beaten (often in a game or other contest), 
shellacking,n.,defeat;  beating; loss, 
sheep,n.,stupid or gullible people, 
ship shape,adj.,in good  condition; functioning well, 
shit,n.,feces; the act  of defacating; a despicable pesron; something completely worthless; nonsense.,There's shit all over the place. What happened?
shit,v.,defacate; move  one's bowls.,"Gotta shit, be back in a minute."
shit fit,n.,"a strong, angry  outburst; a tantrum.",Her kid threw a shit fit when he didn't get what he  wanted for dinner.
shit on,v.,treat somebody  poorly, 
shit on a shingle,n.,creamed chipped  beef on toast, 
shit or get off the  pot,v.,take action or  leave, 
shit slinger,n.,cook, 
shit-ass,adj.,"of or  pertaining to an awful, repulsive person", 
shit-ass,n.,"awful,  repulsive person", 
shit-bag,n.,set of annoying  problems or difficulties, 
shit-bag,n.,"unappealing,  incompetent person", 
shitcan,n.,toilet, 
shitcan,n.,garbage can, 
shit-faced,adj.,drunk;  intoxicated, 
shithead,n.,"dumb, rude  person (usually said of men)", 
shit-house,n.,outhouse;  outdoor toilet, 
shit-list,n.,list of  worthless or troublesome people, 
shitload of,n.,large quantity  of something, 
shits,n.,diarrhea, 
shits,n.,diarrhea; the  runs; loose stool.,I've had the shits since I ate that bad fish.
shitsky,n.,"dumb, rude  person (usually said of men)", 
shitsky,n.,feces; dung, 
shitstick,n.,"feces in a  long, narrow shape", 
shitstick,n.,horried person, 
shitty,adj.,coated with  feces, 
shitty,adj.,lousy; poor  quality; undesirable.,"What shitty weather. 2. That's such a shitty car, what  with the dents and scracthes."
shlep,n.,"dumb, annoying  person", 
shlep,v.,carry or haul  something or somebody from place to place, 
shmen,n.,freshmen;  first-year college students, 
shmoose,v.,gossip;  discuss; cat, 
shmooze,v.,gossip;  discuss; cat, 
shook,adj.,scared;  frightened; startled, 
shoot,v.,start to  explain something, 
shoot the bull,v.,gossip;  discuss; chat, 
shoot the crap,v.,gossip;  discuss; chat, 
shoot the shit,v.,gossip;  discuss; chat, 
short stack,n.,two pancakes, 
shot,adj.,tired;  exhausted; damaged; ruined, 
shot,n.,attempt;  attempt to do something, 
shot,n.,launch of a  rocket, 
shot down,adj.,rejected;  eliminated; destroyed, 
shot glass,n.,"small glass,","5 to 2.0 ounces, for measuring or drinking liquor"
shot in the dark,idiom.,guess; random attempt.,It was a shot in the dark.  I'm not surprised I got it wrong.
shot to the curb,adj.,having no  money or place to live; in the gutter, 
shotgunning,n.,ordering large  numbers of tests so as to find what is wrong with a patient, 
shove off,v.,depart; leave, 
shrooms,n.,Psilocybin/psilocin, 
shut somebody up,v.,force somebody  to stop talking; prevent somebody from talking, 
silver bullet,n.,amazing and  full-proof solution, 
single digit midget,n.,solider with  less than ten days left in a combat zone, 
sitrep,n.,situation  report, 
SIW,abbr.,self-inflicted wound, 
six pack,n.,well defined  stomach muscles, 
sixty-nine,n.,oral sex in  which the two partners mutually stimulate each other, 
sixty-nine (69),n.,oral sex in  which the two partners mutually stimulate each other, 
skank,n.,ugly woman  (usually young), 
skanky,adj.,ugly;  disgusting (said mostly about women), 
sketchy,adj.,shady; vague;  weird, 
skills,n.,ability;  capacity; talent; gifts.,You know you brought me in 'cause I got the skills.
skin,v.,cheat; deceive;  overcharge, 
skinhead,n.,person with a  shaven or bald head, 
skinny-minnie,n.,very slender  woman, 
skins,n.,drums, 
skive off,v.,avoid work or  responsibilities; shirk, 
skosh,n.,a little more, 
slacker,n.,"lazy,  unproductive person", 
slam,n.,criticism;  harsh review, 
slam,v.,criticize;  berate; object.,He got slammed by his boss for doing a lousy job last month.
slam (some) beers,v.,drink (a lot  of) beer, 
slam dunk,n.,forcing a  basketball into the basket from above, 
slam dunk,n.,something that  is absolutely certai, 
slammer,n.,prison; jail, 
sleaze,n.,"disgusting,  despicable person", 
sleaze,n.,worthless item  or object, 
sleaze,v.,be promiscuous  (sexually); be a slut, 
sleazebag,n.,"disgusting ,  repulsive person", 
sleazeball,n.,"disgusting ,  repulsive person", 
sleaze-bucket,n.,"disgusting ,  repulsive person", 
sleazo,adj.,sleazy;  disgusting; having a bad reputation, 
sleazoid,adj.,sleazy;  disgusting; having a bad reputation, 
sleez,n.,"disgusting,  despicable person", 
sleez,n.,worthless item  or object, 
sleez,v.,be promiscuous  (sexually); be a slut, 
slime,n.,"disgusting,  worthless person", 
slime bag,n.,"disgusting,  worthless person (usually said of men)", 
slime bucket,n.,"disgusting,  worthless person (usually said of men)", 
slimeball,n.,"disgusting,  worthless person (usually said of men)", 
SLJO,abbr.,shitty  little jobs officer (junior officer given many small tasks), 
slope,n.,Asian person  (so called because of the shape of the eyes), 
slow code,n.,cardiac arrest  for which no particular measures are taken due to the moribund condition of the  patient, 
slug,n.,bullet; firearm  ammunition, 
slut,n.,a woman who is  sexually promiscuous; a woman who appears sexually promiscuous or sexually  alluring.,She looks like a slut but doesn't actually put out.
slutty,n.,a sexually  promiscuous or alluring appearance (used only in reference to women).,"She  always looks slutty, even when she goes to church."
smarts,n.,intelligence;  brains, 
smash hit,n.,"very successful  movie, play, or other form of entertainment", 
smashed,adj.,drunk;  intoxicated, 
smear,v.,defeat somebody  (often in a game or other contest), 
smoke,n.,act of smoking  any substance, 
smoke,n.,cigarette (tobacco);  cigar; pipe, 
smoke,n.,deception;  exaggeration; bullshit, 
smoke eater,n.,firefighter, 
smokin',adj.,excellent;  very hot, 
smoking gun,n.,irrefutable  evidence of guilt, 
smoothie,n.,"blended drink,  usually including fruit", 
SNAFU,n.,"problem;  trouble; trouble spot (from WWII military slang: situation normal, all fucked  up).",Just one little snafu: the computer crashed.
SNAG,abbr.,sensitive  New Age guy, 
snag,n.,trouble;  difficulty, 
snag,v.,acquire; grab;  swipe; steal, 
snail mail,n.,physical mail.,Send it snail mail. I don't mind waiting.
snake eater,n.,U.S. Army  Special Forces personnel; Green Beret, 
snap,n.,snapshot, 
snap,v.,lose control;  go crazy.,"When he heard the news, he just snapped."
sniffer,n.,nose, 
snog,v.,kiss.,I just  snogged the girl of my dreams.
snookered,adj.,deceived;  cheated; swindled, 
snorting,n.,using inhalants, 
snow,n.,deception; con, 
snow,v.,attempt to con  or deceive somebody, 
snow job,n.,deception; con, 
sofa spud,n.,"lazy person who  watches television, movies, or plays video games", 
soft code,n.,cardiac arrest  for which no particular measures are taken due to the moribund condition of the  patient, 
solid,adj.,great;  excellent; cool, 
son of a bitch,n.,"unappealing, worthless  perso", 
son of a bitch,exclam.,"damn it,  darn it (used to express frustration or anger).",Son of a bitch! I totally  forgot.
sorry-ass,adj.,depressed;  sad; pathetic; worthless.,Get your sorry-ass car out of my space.
sorry-assed,adj.,depressed;  sad; pathetic; worthless, 
soul kiss,n.,French kiss, 
sounds,n.,music; records;  CDs, 
soup,n.,fog.,We  can't see anything through this soup. Better drive slow.
soup's on,n.,dinner is  ready; dinner is on the table.,Soup's o
space,v.,be befuddled;  become disoriented or disorganized, 
space junk,n.,"debris,  including dead satellites, in orbit around the earth", 
space out,v.,be befuddled;  become disoriented or disorganized, 
spaced,adj.,giddy;  flakey; silly; befuddled, 
spaced out,adj.,giddy;  flakey; silly; befuddled, 
spacey,adj.,giddy;  flakey; silly; befuddled, 
spam,n.,mass mailing of  email for commercial purposes (usually involving sex), 
spam,n.,undesired email  messages (usually in large quantity) for products or services the user has no  interest in, 
spam,v.,flood email  boxes with unrequested messages for products or services, 
spam,v.,send massive  amounts of email for commercial purposes (usually involving sex), 
spamhaus,n.,company or site  that sends out spam email, 
sparg,n.,asparagus, 
sparky,n.,radio operator, 
spastic,adj.,out of  control; hyper, 
spaz,n.,idiot; twit;  person who overreacts, 
spear-phishing,n.,"targeted,  precision phishing", 
specs,n.,eyesglasses, 
specs,n.,specifications;  detailed information (usually about technology).,Just give me the specs on  the new system.
speed,n.,amphetamine, 
spic,n.,Hispanic person, 
spiffed up,adj.,nicely  dressed; cleaned up.,You got all spiffed up for today's meeting? Why?
spiffy,adj.,good; nice;  excellent.,Very spiffy clothes. Where are going?
spike,v.,put alcohol  into a non-alcoholic drink.,Who spiked the punch?
spill one's guts,v.,confess; reveal  everything, 
splash,n.,commotion;  noise; something noticable or even remarkable.,He made a big splash with his  new ideas
splash,v.,shoot down;  kill in an aerial battle.,Splash one enemy fighter.
split,v.,depart; leave, 
sponge off,v.,"live off  somebody without paying for rent, food, or other costs", 
spook,n.,spy; espionage  agent, 
spook,v.,"scare;  frighten, startle", 
spook factory,n.,CIA (Central  Intelligence Agency), 
spoon,n.,cook, 
spoon slinger,n.,cook, 
spot,n.,small quantity  of liquor.,"Just a spot of whisky, please."
spot,n.,club;  nightclub; nigth spot.,Where's a good spot to hang out around here?
spot,v.,give somebody  an advantage (in a game).,I'll spot you ten points.
spot,v.,lend somebody  something.,Can you spot me ten dollars?
spring for,v.,pay for  something (usually a treat for somebody), 
spruce up,v.,fix up; clean  up; make neat and tidy, 
spud,n.,potato.,"""Addicted to Spuds"" (song title)."
spunk,n.,guts; verve;  courage, 
spunk,n.,semen, 
square,n.,"person who is  old-fashioned, behaves well, and is traditional", 
square,v.,set something  right, 
squat,n.,nothing;  nothing at all, 
squat,v.,sit; sit down;  sit and remain sitting, 
squeal,v.,"inform, snitch,  or tell on somebody", 
squeeze,n.,difficult  situation, 
squeeze,v.,pressure; urge;  push somebody to do something, 
squeeze,n.,one's lover, 
stack,n.,"pile of toast,  French toast, or pancakes", 
stash,n.,hidden supply  of drugs or drug-related items, 
stash,v.,hide; conceal, 
stat,adj.,immediately.,Get him to the ER stat.
stay loose,v.,be cool; relax;  be calm, 
steam,v.,anger; upset, 
steamed,adj.,"angry; upset,  frustrated", 
steel pot,n.,helmet made of  steel with a plastic liner, 
step on it,v.,hurry; make  haste; rush.,Step on it. We don't have time to waste.
stern,n.,buttocks;  posterior, 
sticks,n.,"remote,  isolated area (often a village or town)", 
stiff,n.,corpse; dead  body.,Where's the stiff from last night's shootout?
stiff,v.,"not leave a tip  (in a restaurant, bar, or club).",That waiter got stiffed by a stingy couple.
sting,n.,operation to  ensnare criminals.,"In a brilliant sting operation, the police shut down a  major drug smuggling operation."
sting,v.,capture and/or  arrest somebody, 
sting,v.,cheat; deceive;  swindle, 
stinger,n.,flaw; catch;  drawback, 
stink,n.,commotion;  argument; dispute, 
stink,v.,"be disgusting,  unappealing, or undesirable", 
stinker,n.,person who is  undesirable or disgusting, 
stinking rose,n.,garlic, 
stinkpot,n.,baby with a  soiled diaper (usually from defecation), 
stoked,adj.,excited;  eager, 
stone,adv.,totally;  completely; entirely, 
stoned,adj.,drunk;  intoxicated, 
stoned,adj.,under the  influence of drugs, 
stones,n.,guts; verve;  courage, 
stones,n.,testicles;  balls, 
straight,adj.,honest;  truthful, 
straight,adj.,no longer  using drugs or alcohol, 
straight,adj.,undiluted  alcoholic drink, 
straight,adj.,heterosexual, 
straight,n.,heterosexual as  opposed to homosexual or bisexual, 
straight dope,n.,"accurate  reporting, information, or facts", 
straight up,adj.,alcoholic  drink without ice; neat, 
straight up,adj.,forthwith;  upright; earnest, 
straight-shooter,n.,person who  speaks directly and frankly, 
strapped,adj.,short on  cash; broke; having no money, 
street,n.,"real world (as  opposed to jail, prison, or other confinement)", 
street,n.,Wall Street  (note that this is often capitalized), 
street smart,adj.,"knowledgable  about life in the city, particularly in dangerous parts of a city.",She's  street smart and knows how to get things done.
street smarts,n.,capacity to  survive or thrive in a given environment, 
stress,v.,become anxious  or agitated; make somebody anxious or agitated, 
stressed,adj.,anxious;  upset; agitated; annoyed.,I'm so stressed because of all this work.
stressed out,adj.,anxious;  upset; agitated; annoyed, 
