Idiom,Meaning,Example,Part_of_Speech
oreo,"black person  who adopts the lifestyle, attitudes, and such of White people", ,n.
O-sign,comatose  patient with his mouth agape, ,n.
OTOH,on the other  hand, ,abbr.
out,reveal somebody  as a homosexual, ,v.
out of pocket,from one's own  resources, ,adj.
over-the-top,excessive;  unnecessary; exaggerated, ,adj.
pack,carry or have a  gun, ,v.
pad,home; dwelling;  room where one lives, ,n.
PAFO,pissed  (drunk) and fell over, ,abbr.
pain in the ass,highly  irritating or difficult, ,n.
pain in the butt,highly  irritating or difficult, ,n.
pain in the buttocks,highly  irritating or difficult, ,n.
pain in the neck,highly  irritating or difficult, ,n.
pain in the rear,highly  irritating or difficult, ,n.
pain in the rear end,highly  irritating or difficult, ,n.
pancake,foundation  makeup as used in the performing arts, ,n.
pancake,flatten; reduce  to a flat shape.,The car got pancaked in the collision.,v.
paper trail,evidence in  written or document form that proves somebody did something, ,n.
paper-pusher,clerk;  bureaucrat; office worker, ,n.
parental units,parents; father  and mother, ,n.
park it,sit; sit down;  sit and remain sitting, ,v.
partay,party, ,n.
party,throw or have a  party; celebrate, ,v.
party animal,person who  loves parties, ,n.
pasting,defeat;  beating; loss, ,n.
patsy,victim; dupe;  person easily taken advantage of, ,n.
paw,hand, ,n.
paw,grope or touch  somebody in a sexual manner, ,v.
payback,"revenge,  retribution, just desserts", ,n.
PB,peanut  butter, ,abbr.
PBD,peanut  butter and dill pickle sandwich, ,abbr.
PBJ,"peanut  butter and jelly sandwich (n.b.: other forms, such as shakes, also exist)", ,abbr.
PDA,public  display of affectio, ,abbr.
peanuts,very little  money, ,n.
pecker checker,urologist, ,n.
pecks,pectoral  muscles; chest muscles, ,n.
pects,pectoral muscles;  chest muscles, ,n.
peds,pediatrics.,"I spent the morning on peds, taking care of little kids.",n.
peep,vocalization;  noise; sound, ,n.
peepers,eyes, ,n.
pencil in,schedule  something tentatively, ,v.
pencil-pusher,clerk;  bureaucrat; office worker, ,n.
period,that's  all; that's it; no more discussion, ,exclam.
perp,"perpetrator;  person who commits, or may have committed, a crime.",Who's our perp? Anyone  able to identify him?,n.
peyote,mescaline, ,n.
pharming,technique to  direct a user to a fake Web page used to scam people, ,n.
phat,excellent;  good, ,adj.
phat,something  extremely good, ,adj.
phishing,technique of  directing people to fake Web sites in order to convince them to reveal personal  informatio, ,n.
phone sex,sexual activity  over the telephone, ,n.
phooey,nonsense;  rubbish; foolish talk or ideas, ,n.
phreak,attack computer  systems or telephone systems over telephone lines, ,v.
phreaker,person who  attacks computer systems or telephone systems over telephone lines, ,n.
pickled,drunk;  intoxicated, ,adj.
piddle,work slowly and  without focus, ,v.
piddle around,work slowly and  without focus, ,v.
pie hole,mouth, ,n.
piece of ass,potential  partner for sex (usually a woman), ,n.
piece of cake,simple; very easy.,That test was a piece of cake.  I'm sure I'll get a good score.,idiom.
piece of cake,something  readily or easily accomplished, ,n.
piece of tail,potential  partner for sex (usually a woman), ,n.
piece of work,person of  unappealing or undesirable character, ,n.
pie hole,the human mouth, ,n.
pig,"fat, ugly woman", ,n.
pig,glutton; person  who eats a lot, ,n.
pig,"messy, dirty  person", ,n.
pig,police officer, ,n.
pig out,"gorge, overeat,  eat to excess", ,v.
pile of shit,lies, ,n.
pile of shit,low-quality  object or device, ,n.
pile of shit,person of  little value, ,n.
pimp,make fancy;  dress up; embellish, ,v.
pimpmobile,"big, flashy  car, often with bright colors, lights, and chrome", ,n.
pinch,"small quantity  of powdered substance (e.g.: salt, spices)", ,n.
piss,low-quality  beer or liquor, ,n.
piss,urine; pee, ,n.
piss,urinate; pee, ,v.
piss around,"spend time  doing minor, irrelevant things", ,v.
piss in the wind,waste time; do  something unproductive or futile, ,v.
piss off,go away;  drop dead (used to reject something or as a retort), ,exclam.
piss off,go away;  get out of my sight, ,exclam.
piss somebody off,upset somebody, ,v.
piss something away,squander;  fritter away; waste, ,v.
pissant,completely  worthless, ,adj.
pissant,person of no  value, ,n.
piss-ant,completely  worthless, ,adj.
piss-ant,person of no  value, ,n.
pissed,drunk;  intoxicated, ,adj.
pissed,upset; angry, ,adj.
pissed off,upset; angry, ,adj.
pissing match,dispute;  argument; pointless debate or competition, ,n.
piss-poor,extremely  poor; having no money, ,adj.
piss-poor,very low  quality or capability, ,adj.
pit stop,"stop made while  driving somewhere, usually for food or to use a bathroom", ,n.
PITA,pain in the  ass, ,abbr.
pitch a tent,have an  erection upon waking in the morning, ,v.
pitch it,discard it; get  rid of it, ,v.
pitch up,arrive; show  up; appear, ,v.
pitch-in,meal in which  each participant contributes food (used in Indiana and Montana only), ,n.
pits,something very  poor or undesirable, ,n.
pizza-face,person with  severe acne or scars from acne, ,n.
PJs,projects, ,n.
plastered,drunk;  intoxicated, ,adj.
plastic,fake; false;  unreal, ,adj.
play,plan; strategy;  tactic.,"Okay, here's our next play. You fake left, you go deep.",n.
play doctor,engage in  sexual activity (mostly said and done by children), ,v.
play it cool,"appear or act  in a relaxed, carefree manner", ,v.
played out,ineffective;  used up, ,adj.
player,"person who has  power, influence, or authority in a situation", ,n.
player,person who is  sexually active or promiscuous, ,n.
plop,put or place  something in some location, ,v.
plop,sit down, ,v.
PLOS,parents  looking over shoulder, ,abbr.
plug,hunk of chewing  tobacco, ,n.
plug,promotion or  advertisement (often free) for a product or service, ,n.
p-mail,physical mail, ,n.
pocket rocket,penis, ,n.
poindexter,"studious, good  student (usually male)", ,n.
pointy-head,intellectual;  careful thinker, ,n.
pokey,slow; very  slow, ,adj.
pokey,prison; jail, ,n.
poky,prison; jail, ,n.
polish off,finish up;  complete; remove the last of (said of food or work).,He polished off the  rest of the cake.,v.
pond scum,"person (usually  male) of no worth, with a cruel disposition", ,n.
poop,act of  defacatio, ,n.
poop,move one's  bowels; defacate, ,v.
poop,feces; dung, ,n.
poop,information or  knowledge about something, ,n.
poop / shot one�s pants,get scared / frightened, ,v.
poop out,stop; quit;  become tired and stop, ,v.
poop sheet,paper  containing information about something, ,n.
pooped,tired;  fatigued; exhausted, ,adj.
pooped out,tired;  fatigued; exhausted, ,adj.
pop,popular.,Pop music sucks these days.,adj.
pop,"father; dad;  daddy (older expression, not used much anymore)", ,n.
pop,soda;  carbonated beverage (used mostly in the Midwest of the U.S.), ,n.
pop,strike; hit, ,v.
pop a boner,get an erection, ,n.
pop a wheelie,ride a  motorcycle or bicycle with the front wheel off the ground.,"He popped a  wheelie, then crashed his bike.",v.
pop for,pay for  something (usually a treat for somebody), ,v.
pop off,interrupt; talk  back, ,v.
pop off,lose control, ,v.
pop one's cork,become angry;  have an outburst or tantrum, ,v.
pop the clutch,engage the  clutch abruptly.,Don't pop the clutch. Be a bit more gentle when you shift  gears.,v.
popper,small container  of amyl nitrate, ,n.
poppers,amyl nitrite, ,n.
pops,you (when  addressing an older male you do not personally know).,"Hey, pops, help me out  here for a minute.",n.
pork,have sexual  relations with, ,v.
pork out,eat  excessively; overeat, ,v.
pork out,eat greedily  and quickly, ,v.
porky,"fat,  overweight", ,adj.
poser,person who  pretends to be what he or she is not, ,n.
posh,fancy;  upscale, ,adj.
posse,one's friends, ,n.
post,steering column  in a car, ,n.
pot,carburetor, ,n.
pot,marijuana, ,n.
pot luck,meal in which  each participant contributes food, ,n.
POW,prisoner of war, ,n.
pray to the porcelain  god,vomit; throw up, ,v.
prick,dumb person of  little worth, ,n.
prick,penis, ,n.
pro,professional;  somebody with professional-level ability, ,n.
pro,prostitute;  whore, ,n.
prod,reminder; way  to make somebody remember something, ,n.
prod,remind somebody  of something, ,v.
psych,psychiatry;  psychiatric service or ward in a hospital.,Get psych down here. I think  we've got a suicide.,n.
psych out,fool; deceive;  trick (somebody), ,v.
psych up,excite  somebody; make somebody enthusiastic, ,v.
psyched,thrilled;  excited; stimulated; eager, ,adj.
puff,exaggerate;  promote; hype; market aggressively, ,v.
puke,vomit; vomitus.,Look at the puke all over this bus statio,n.
puke,vomit; throw  up.,I was so sick from that fish that I puked last night,v.
pull an all-nighter,"stay up all  night doing something, usually a studying, preparing for an exam, or partying.",I pulled an all-nighter to finish that project.,v.
pull rank,use or exploit  the authority that comes with one's rank, ,v.
pull somebody's chain,annoy; harass;  irritate, ,v.
PUMG,puking up my  guts (from laughing hard), ,abbr.
pump,try to extract  information from somebody, ,v.
pump,heart, ,n.
pump up,excite  somebody; make somebody enthusiastic, ,v.
pump up,exercise or  flex muscles to that they become filled with blood and appear larger, ,v.
pumped,thrilled;  excited; stimulated; eager, ,adj.
pumped up,thrilled;  excited; stimulated; eager, ,adj.
punch out,eject from an  aircraft.,"I'm hit, gotta punch out!",v.
punk,of or  pertaining to punk music and those who listen to it, ,adj.
punk,juvenile  delinquent; hoodlum (said of young men and boys), ,n.
punker,person (usually  young) who emulates the fashion and behavior of punk rock musicians, ,n.
punter,gambler;  someone who bets or makes risky investments, ,n.
puppy,object; thing, ,n.
puppy love,feeling of  affection or romantic attraction among pre-adolescents, ,n.
push off,depart; leave.,"It's late, time to push off.",v.
pusher,person who sells  drugs, ,n.
puss,face; a  person's face, ,n.
pussy,female  genitalia, ,n.
pussy,woman (as a  sexual object).,I gotta get me some pussy.,n.
pussy-wipped,under the  control of a woman; manipulated by a woman (said of men), ,adj.
put a sock in it,be quiet;  shut up; stop stalking, ,exclam.
put a sock in it,be quiet; stop  talking, ,v.
put out,upset;  disappointed, ,adj.
put out,engage in  sexual activity (said of women), ,v.
put the chill on,ignore; leave  alone; reject (somebody), ,v.
put the freeze on,ignore; leave  alone; reject (somebody), ,v.
put the moves on,attempt to  attrack or seduce somebody (usually a woman), ,v.
put the pedal to the  metal,accelerate a  car by pressing the accelerator pedal to the floor, ,v.
put your hands  together for,clap; applaud  somebody, ,v.
put-on,con; deception, ,n.
putz,"dumb, clumsy  person", ,n.
putz,penis (from  Yiddish), ,n.
putz around,mess around; do  little or nothing; waste time, ,v.
pysched up,thrilled;  excited; stimulated; eager, ,adj.
Q-sign,comatose  patient with mouth open and tongue hanging out, ,n.
quads,"quadrucep  muscles (on the front of the thigh, visible near the knee)", ,n.
quant,financial  analyst who uses quantitative techniques, ,n.
quarterback,lead; manage;  be in charge of something or somebody, ,v.
queer,of or  pertaining to homosexuals, ,adj.
queer,homosexual  (typically male), ,n.
quick buck,profit rapidly  and readily earned, ,n.
quick fix,"simple, rapid  solution that is usually not practical in the long term", ,n.
quick fix,solution that  is neither good nor durable, ,n.
quick one,sexual  relations done quickly, ,n.
quick-and-dirty,something  done rapidly and sloppily, ,adj.
quickie,sexual  relations done quickly, ,n.
rabbit,flee; run away;  escape.,He's rabbiting. I'm going after him.,v.
rabbit food,raw vegetables, ,n.
rack,bed; cot, ,n.
rack,"breasts  (female, usually large)", ,n.
rack duty,time spend in  bed asleep, ,n.
rack time,time spend in  bed asleep, ,n.
rack up,earn; obtain;  acquire, ,v.
racket,con; deception, ,n.
racket,"noise; loud  sounds (music, work-related noise)", ,n.
radical,excellent;  good, ,adj.
rag,clothing in  general (of any quality), ,n.
rag,newspaper, ,n.
rag,tampon; pad, ,n.
rag,ugly clothing, ,n.
ragjob,convertible  (car), ,n.
ragtop,convertible  (car), ,n.
railroad tracks,braces on the  teeth (particularly metal ones with wires connecting them), ,n.
rain on somebody's  parade,ruin or spoil  something for somebody, ,v.
rake in,obtain or bring  in a large quantity (usually money), ,v.
rally,party;  gathering; event, ,n.
rally,have a party or  hold an event, ,v.
rap,criminal charge  or accusation; blame or responsibility, ,n.
rap,chat; talk;  discuss something, ,v.
rap session,causual  discussion about something, ,n.
rap sheet,record of a  person's crimes, ,n.
raspberry,obnoxious sound  made by pushing air through closed lips, ,n.
rat,person who is  disgusting, ,n.
rat fink,informant;  snitch, ,n.
rat on,"inform, snitch,  or tell on somebody", ,v.
rat-bastard,person who is  extremely disgusting, ,n.
rathole,disgusting  place, ,n.
rattled,surprised;  confused, ,adj.
raw,lacking  experience; new.,"You're totally raw. You've never done this, have you?",adj.
rays,sunshine, ,n.
razz,tease; taunt, ,v.
ream out,scold or berate  somebody, ,v.
rear,buttocks, ,n.
rear end,buttocks, ,n.
rear-ender,automobile  collision in which one car strikes the back or another, ,n.
red hot,very important;  very much in demand, ,n.
red tide,menstruation;  menstrual period; period, ,n.
red up,dress up; make  fancy (used in western Pennsylvania), ,v.
redneck,"person from a  small, rural town and possessing little education or manners", ,n.
reffo,refugee, ,n.
regs,regulations  (abbreviation).,Don't quote me the regs.,n.
rep,representative  (usually in sales), ,n.
rep,reputatio, ,n.
repo,repossessed  item (usually an automobile), ,n.
re-up,reenlist.,He  re-upped? I thought he wanted out of the army.,v.
revved,excited;  eager, ,adj.
revved up,excited;  eager, ,adj.
ride,car; vehicle, ,n.
ride shotgun,sit in the  front passenger seat of a car.,I'll ride shotgun if you don't mind. I've got  to tell him where we're going.,v.
riff,brief piece of  music played by one musicia, ,n.
rig,manipulate or  set up a situation to achieve a desired outcome; cheat, ,v.
righteous,high quality;  nice; good, ,adj.
rims,wheels (on a  car), ,n.
ring a bell,bring to mind, ,v.
rinky-dink,cheap; low  quality; damaged, ,adj.
rip off,deceive; steal;  con somebody out of.,They tried to rip me off at the used car dealership.,v.
rip-off,con; deception, ,n.
rip-off,copy;  reproduction; stolen idea or item, ,n.
rip-off artist,con artist;  deceiver, ,n.
ripped,muscular;  having well-defined muscles (usually said of men).,His abs are seriously  ripped.,adj.
roach-coach,snack truck, ,n.
road hog,driver who  takes up too much space on a road, ,n.
roadie,person (usually  young) who helps a rock group move equipment and set up for a performance, ,n.
roady,person (usually  young) who helps a rock group move equipment and set up for a performance, ,n.
roast,party or event  at which the guest or honor is teased or insulted in an affectionate way, ,n.
roast,tease and  insult a person at a party held in his or her honor, ,v.
rock,"be exciting,  stimulating, or successful", ,v.
rocks,ice cubes, ,n.
roger,understood  (used primarily for radio communication), ,n.
roit,"an amusing,  entertaining person or thing", ,n.
Rolls,Rolls-Royce.,Nice Rolls. How'd you afford it?,n.
root around,look for;  carefully and thoroughly seek, ,v.
rophies,rohypnol, ,n.
rophy,rohypnol, ,n.
ROTL,rolling on  the floor, ,abbr.
rotten,low quality  or performance.,He wrote a rotten paper for his history class.,adj.
rotten,stinky;  smelly; disgusting, ,adj.
rough time,difficult  experience; hard time, ,n.
roundup,"summary of  information such as news, weather, or sports", ,n.
rubber,black marks of  rubber left by automobile tires on a road.,He really burned rubber when he  left.,n.
rubber,condom (U.S.  usage).,Where can you buy rubbers at this time of night?,n.
rubbish,nonsense;  foolish talk or ideas, ,n.
rug,toupee or wig.,Nice rug that guy's got.,n.
rug rat,child; kid.,Any rug rats at home?,n.
rule,be the top; be  the best; dominate, ,v.
run,transportation  of illegal items, ,n.
run,transport  illegal items.,My grandfather used to run rum from Cuba.,v.
run down,explanation or  description of an event, ,n.
run it down,tell exactly  what happened, ,v.
run off at the mouth,speak  excessively and quickly, ,v.
run out of gas,tire; lose  interest, ,v.
runner,somebody who  transports illegal items.,"That gun runner got arrested, didn't he?",n.
runs,diarrhea, ,n.
runt,"short, usually  slender peson (typically male)", ,n.
rush,"time when  sororities and fraternities attempt to find new members, usually in the fall", ,n.
S.O.B.,son of a bitch;  despicable person (typically male), ,n.
S.O.S.,shit on a  shingle (i.e.: creamed chipped beef on toast), ,n.
sack,bed; cot, ,n.
sack,"firing,  termination, or dismissal from a job", ,n.
sack,the tackling of  a player in football (American), ,n.
sack,fire; dismiss  (an employee), ,v.
sack,tackle a player  in football (American), ,v.
sack out,go to bed; get  in bed; go to sleep, ,v.
sand box,Iraq (as of  2003; previously referred to Saudi Arabia), ,n.
scam,deception;  swindle; con;, ,n.
scammer,con artist;  deceiver; swindler, ,n.
scank,ugly woman  (usually young), ,n.
scarf,eat greedily  and quickly.,He was so hungry he scarfed the entire pizza.,v.
scarf down,eat greedily  and quickly, ,v.
scarf out,eat greedily  and quickly, ,v.
schlep,"dumb, annoying  person", ,n.
schlep,carry or haul  something or somebody from place to place.,I've been schlepping these books  around all day.,v.
schmoose,gossip;  discuss; cat, ,v.
schmooze,gossip;  discuss; cat, ,v.
schmoozer,person who can  chat or gossip effectively, ,n.
schmuck,"dumb, annoying  man or boy", ,n.
schmuck,penis, ,n.
school,teach somebody  something (usually said by a person in authority), ,v.
scope,assess or  evaluate somebody visually, ,v.
scope out,assess or  evaluate somebody visually, ,v.
scorcher,"very hot, sunny  day", ,n.
score,results;  outcome, ,n.
score,"summary of  information such as news, weather, or sports", ,n.
score,succeed; obtain  what one wanted, ,v.
score,have sexual  relations with (said by men regarding women), ,v.
scraggy,bony; having  little muscle or body fat, ,adj.
scratch,unplanned;  temporary, ,adj.
scratch,money; cash, ,n.
scratch,eliminate;  cancel; delete, ,v.
scratch,money, ,n.
screw,con; deceive;  swindle; cheat, ,v.
screw,person  available for sex, ,n.
screw,sex; the sex  act, ,n.
screw,have sexual  relations with, ,v.
screw around,waste time; do  something unproductive or futile, ,v.
screw over,"cheat, lie, or  deceive somebody", ,v.
screw up,err; mess up;  blunder, ,adj.
screw up,chaos;  confusion; mess, ,n.
screwed,deceived;  cheated; swindled, ,adj.
scriptkiddy,"young,  inexperienced hacker with little programming ability who uses other's code for  their own malicious purposes", ,n.
scrub,cancel; halt;  stop, ,v.
scruffy,dirty;  unkempt.,Who you calling scruffy looking?,adj.
scum,"disgusting,  worthless person", ,n.
scum,semen, ,n.
scumbag,"disgusting,  worthless person", ,n.
scumbag,"condom, in  particular a used one", ,n.
scuz,dirt; filth;  garbage, ,n.
scuzzbag,"disgusting,  worthless person", ,n.
scuzzy,disgusting;  repulsive; vulgar, ,adj.
second base,"act of touching  or groping sexually (used as a way to mark ""progress"" in sex,  particularly among youth)", ,n.
serious,excellent;  nice; good, ,adj.
set,period during  which a band plays without stopping, ,n.
sexy,have  substantial sexual appeal, ,adj.
shades,"sunglasses,  especially dark sunglasses", ,n.
shag,depart; leave, ,v.
shag,have sexual  intercourse with, ,v.
shag off,depart; leave, ,v.
shank,knife; blade, ,n.
shank it,walk someplace;  go someplace on foot, ,v.
sharp,handsome;  attractive; nicely dressed, ,adj.
sharp,smart;  clever; bright, ,adj.
shellac,defeat somebody  (often in a game or other contest), ,v.
shellacked,defeated;  beaten (often in a game or other contest), ,adj.
shellacking,defeat;  beating; loss, ,n.
sheep,stupid or gullible people, ,n.
ship shape,in good  condition; functioning well, ,adj.
shit,feces; the act  of defacating; a despicable pesron; something completely worthless; nonsense.,There's shit all over the place. What happened?,n.
shit,defacate; move  one's bowls.,"Gotta shit, be back in a minute.",v.
shit fit,"a strong, angry  outburst; a tantrum.",Her kid threw a shit fit when he didn't get what he  wanted for dinner.,n.
shit on,treat somebody  poorly, ,v.
shit on a shingle,creamed chipped  beef on toast, ,n.
shit or get off the  pot,take action or  leave, ,v.
shit slinger,cook, ,n.
shit-ass,"of or  pertaining to an awful, repulsive person", ,adj.
shit-ass,"awful,  repulsive person", ,n.
shit-bag,set of annoying  problems or difficulties, ,n.
shit-bag,"unappealing,  incompetent person", ,n.
shitcan,toilet, ,n.
shitcan,garbage can, ,n.
shit-faced,drunk;  intoxicated, ,adj.
shithead,"dumb, rude  person (usually said of men)", ,n.
shit-house,outhouse;  outdoor toilet, ,n.
shit-list,list of  worthless or troublesome people, ,n.
shitload of,large quantity  of something, ,n.
shits,diarrhea, ,n.
shits,diarrhea; the  runs; loose stool.,I've had the shits since I ate that bad fish.,n.
shitsky,"dumb, rude  person (usually said of men)", ,n.
shitsky,feces; dung, ,n.
shitstick,"feces in a  long, narrow shape", ,n.
shitstick,horried person, ,n.
shitty,coated with  feces, ,adj.
shitty,lousy; poor  quality; undesirable.,"What shitty weather. 2. That's such a shitty car, what  with the dents and scracthes.",adj.
shlep,"dumb, annoying  person", ,n.
shlep,carry or haul  something or somebody from place to place, ,v.
shmen,freshmen;  first-year college students, ,n.
shmoose,gossip;  discuss; cat, ,v.
shmooze,gossip;  discuss; cat, ,v.
shook,scared;  frightened; startled, ,adj.
shoot,start to  explain something, ,v.
shoot the bull,gossip;  discuss; chat, ,v.
shoot the crap,gossip;  discuss; chat, ,v.
shoot the shit,gossip;  discuss; chat, ,v.
short stack,two pancakes, ,n.
shot,tired;  exhausted; damaged; ruined, ,adj.
shot,attempt;  attempt to do something, ,n.
shot,launch of a  rocket, ,n.
shot down,rejected;  eliminated; destroyed, ,adj.
shot glass,"small glass,","5 to 2.0 ounces, for measuring or drinking liquor",n.
shot in the dark,guess; random attempt.,It was a shot in the dark.  I'm not surprised I got it wrong.,idiom.
shot to the curb,having no  money or place to live; in the gutter, ,adj.
shotgunning,ordering large  numbers of tests so as to find what is wrong with a patient, ,n.
shove off,depart; leave, ,v.
shrooms,Psilocybin/psilocin, ,n.
shut somebody up,force somebody  to stop talking; prevent somebody from talking, ,v.
silver bullet,amazing and  full-proof solution, ,n.
single digit midget,solider with  less than ten days left in a combat zone, ,n.
sitrep,situation  report, ,n.
SIW,self-inflicted wound, ,abbr.
six pack,well defined  stomach muscles, ,n.
sixty-nine,oral sex in  which the two partners mutually stimulate each other, ,n.
sixty-nine (69),oral sex in  which the two partners mutually stimulate each other, ,n.
skank,ugly woman  (usually young), ,n.
skanky,ugly;  disgusting (said mostly about women), ,adj.
sketchy,shady; vague;  weird, ,adj.
skills,ability;  capacity; talent; gifts.,You know you brought me in 'cause I got the skills.,n.
skin,cheat; deceive;  overcharge, ,v.
skinhead,person with a  shaven or bald head, ,n.
skinny-minnie,very slender  woman, ,n.
skins,drums, ,n.
skive off,avoid work or  responsibilities; shirk, ,v.
skosh,a little more, ,n.
slacker,"lazy,  unproductive person", ,n.
slam,criticism;  harsh review, ,n.
slam,criticize;  berate; object.,He got slammed by his boss for doing a lousy job last month.,v.
slam (some) beers,drink (a lot  of) beer, ,v.
slam dunk,forcing a  basketball into the basket from above, ,n.
slam dunk,something that  is absolutely certai, ,n.
slammer,prison; jail, ,n.
sleaze,"disgusting,  despicable person", ,n.
sleaze,worthless item  or object, ,n.
sleaze,be promiscuous  (sexually); be a slut, ,v.
sleazebag,"disgusting ,  repulsive person", ,n.
sleazeball,"disgusting ,  repulsive person", ,n.
sleaze-bucket,"disgusting ,  repulsive person", ,n.
sleazo,sleazy;  disgusting; having a bad reputation, ,adj.
sleazoid,sleazy;  disgusting; having a bad reputation, ,adj.
sleez,"disgusting,  despicable person", ,n.
sleez,worthless item  or object, ,n.
sleez,be promiscuous  (sexually); be a slut, ,v.
slime,"disgusting,  worthless person", ,n.
slime bag,"disgusting,  worthless person (usually said of men)", ,n.
slime bucket,"disgusting,  worthless person (usually said of men)", ,n.
slimeball,"disgusting,  worthless person (usually said of men)", ,n.
SLJO,shitty  little jobs officer (junior officer given many small tasks), ,abbr.
slope,Asian person  (so called because of the shape of the eyes), ,n.
slow code,cardiac arrest  for which no particular measures are taken due to the moribund condition of the  patient, ,n.
slug,bullet; firearm  ammunition, ,n.
slut,a woman who is  sexually promiscuous; a woman who appears sexually promiscuous or sexually  alluring.,She looks like a slut but doesn't actually put out.,n.
slutty,a sexually  promiscuous or alluring appearance (used only in reference to women).,"She  always looks slutty, even when she goes to church.",n.
smarts,intelligence;  brains, ,n.
smash hit,"very successful  movie, play, or other form of entertainment", ,n.
smashed,drunk;  intoxicated, ,adj.
smear,defeat somebody  (often in a game or other contest), ,v.
smoke,act of smoking  any substance, ,n.
smoke,cigarette (tobacco);  cigar; pipe, ,n.
smoke,deception;  exaggeration; bullshit, ,n.
smoke eater,firefighter, ,n.
smokin',excellent;  very hot, ,adj.
smoking gun,irrefutable  evidence of guilt, ,n.
smoothie,"blended drink,  usually including fruit", ,n.
SNAFU,"problem;  trouble; trouble spot (from WWII military slang: situation normal, all fucked  up).",Just one little snafu: the computer crashed.,n.
SNAG,sensitive  New Age guy, ,abbr.
snag,trouble;  difficulty, ,n.
snag,acquire; grab;  swipe; steal, ,v.
snail mail,physical mail.,Send it snail mail. I don't mind waiting.,n.
snake eater,U.S. Army  Special Forces personnel; Green Beret, ,n.
snap,snapshot, ,n.
snap,lose control;  go crazy.,"When he heard the news, he just snapped.",v.
sniffer,nose, ,n.
snog,kiss.,I just  snogged the girl of my dreams.,v.
snookered,deceived;  cheated; swindled, ,adj.
snorting,using inhalants, ,n.
snow,deception; con, ,n.
snow,attempt to con  or deceive somebody, ,v.
snow job,deception; con, ,n.
sofa spud,"lazy person who  watches television, movies, or plays video games", ,n.
soft code,cardiac arrest  for which no particular measures are taken due to the moribund condition of the  patient, ,n.
solid,great;  excellent; cool, ,adj.
son of a bitch,"unappealing, worthless  perso", ,n.
son of a bitch,"damn it,  darn it (used to express frustration or anger).",Son of a bitch! I totally  forgot.,exclam.
sorry-ass,depressed;  sad; pathetic; worthless.,Get your sorry-ass car out of my space.,adj.
sorry-assed,depressed;  sad; pathetic; worthless, ,adj.
soul kiss,French kiss, ,n.
sounds,music; records;  CDs, ,n.
soup,fog.,We  can't see anything through this soup. Better drive slow.,n.
soup's on,dinner is  ready; dinner is on the table.,Soup's o,n.
space,be befuddled;  become disoriented or disorganized, ,v.
space junk,"debris,  including dead satellites, in orbit around the earth", ,n.
space out,be befuddled;  become disoriented or disorganized, ,v.
spaced,giddy;  flakey; silly; befuddled, ,adj.
spaced out,giddy;  flakey; silly; befuddled, ,adj.
spacey,giddy;  flakey; silly; befuddled, ,adj.
spam,mass mailing of  email for commercial purposes (usually involving sex), ,n.
spam,undesired email  messages (usually in large quantity) for products or services the user has no  interest in, ,n.
spam,flood email  boxes with unrequested messages for products or services, ,v.
spam,send massive  amounts of email for commercial purposes (usually involving sex), ,v.
spamhaus,company or site  that sends out spam email, ,n.
sparg,asparagus, ,n.
sparky,radio operator, ,n.
spastic,out of  control; hyper, ,adj.
spaz,idiot; twit;  person who overreacts, ,n.
spear-phishing,"targeted,  precision phishing", ,n.
specs,eyesglasses, ,n.
specs,specifications;  detailed information (usually about technology).,Just give me the specs on  the new system.,n.
speed,amphetamine, ,n.
spic,Hispanic person, ,n.
spiffed up,nicely  dressed; cleaned up.,You got all spiffed up for today's meeting? Why?,adj.
spiffy,good; nice;  excellent.,Very spiffy clothes. Where are going?,adj.
spike,put alcohol  into a non-alcoholic drink.,Who spiked the punch?,v.
spill one's guts,confess; reveal  everything, ,v.
splash,commotion;  noise; something noticable or even remarkable.,He made a big splash with his  new ideas,n.
splash,shoot down;  kill in an aerial battle.,Splash one enemy fighter.,v.
split,depart; leave, ,v.
sponge off,"live off  somebody without paying for rent, food, or other costs", ,v.
spook,spy; espionage  agent, ,n.
spook,"scare;  frighten, startle", ,v.
spook factory,CIA (Central  Intelligence Agency), ,n.
spoon,cook, ,n.
spoon slinger,cook, ,n.
spot,small quantity  of liquor.,"Just a spot of whisky, please.",n.
spot,club;  nightclub; nigth spot.,Where's a good spot to hang out around here?,n.
spot,give somebody  an advantage (in a game).,I'll spot you ten points.,v.
spot,lend somebody  something.,Can you spot me ten dollars?,v.
spring for,pay for  something (usually a treat for somebody), ,v.
spruce up,fix up; clean  up; make neat and tidy, ,v.
spud,potato.,"""Addicted to Spuds"" (song title).",n.
spunk,guts; verve;  courage, ,n.
spunk,semen, ,n.
square,"person who is  old-fashioned, behaves well, and is traditional", ,n.
square,set something  right, ,v.
squat,nothing;  nothing at all, ,n.
squat,sit; sit down;  sit and remain sitting, ,v.
squeal,"inform, snitch,  or tell on somebody", ,v.
squeeze,difficult  situation, ,n.
squeeze,pressure; urge;  push somebody to do something, ,v.
squeeze,one's lover, ,n.
stack,"pile of toast,  French toast, or pancakes", ,n.
stash,hidden supply  of drugs or drug-related items, ,n.
stash,hide; conceal, ,v.
stat,immediately.,Get him to the ER stat.,adj.
stay loose,be cool; relax;  be calm, ,v.
steam,anger; upset, ,v.
steamed,"angry; upset,  frustrated", ,adj.
steel pot,helmet made of  steel with a plastic liner, ,n.
step on it,hurry; make  haste; rush.,Step on it. We don't have time to waste.,v.
